nombre,apellido,cedula,covid,ciudad,forma_contagio,tuvo_sintomas,sexo,hospitalizado,edad,fecha,sintomas
Lee,Ortega,33070775-5,si,Azuay,amigo,si,M,si,36,2021-03-17,"Náuseas, tos seca, Moqueo, Diarrea, Escalofríos, cansancio, Dolor de cabeza, Perdidad del Gusto"
Blaze,Buck,25893194-7,si,Azuay,amigo,si,M,si,52,2021-01-06,"tos seca, Congestión, cansancio"
Justine,Horton,31711752-3,si,Azuay,amigo,si,M,si,35,2021-07-23,"Moqueo, Dolor de Cabeza, Náuseas, Dificultad al respirar, Dolor de cabeza"
Evangeline,Guzman,12840688-3,si,Azuay,amigo,si,M,si,40,2021-06-20,"Diarrea, Dolor de Cabeza, Congestión, Náuseas, Dificultad al respirar, Perdida del Olfato, fiebre, Dolores musculares o corporales"
Ethan,Daniels,49022222-7,si,Azuay,amigo,si,M,si,39,2020-08-23,
Wendy,Guerra,10522666-7,si,Azuay,amigo,si,M,si,36,2021-05-09,"Dolor de cabeza, Perdida del Olfato, Dolor de Cabeza"
Ian,Daniels,13257793-5,si,Azuay,amigo,si,M,si,67,2021-10-30,"tos seca, Dolores musculares o corporales, Perdidad del Gusto"
Nina,Compton,40849367-6,si,Azuay,amigo,si,M,si,56,2020-02-11,Dolores musculares o corporales
Amal,Hayes,30786548-3,si,Azuay,amigo,si,M,si,58,2020-11-08,"cansancio, Perdidad del Gusto, Náuseas, fiebre, Moqueo, Diarrea, Dolores musculares o corporales"
Tate,Irwin,16463268-7,si,Azuay,amigo,si,M,si,40,2021-08-30,"Vómito, fiebre, Dolor de cabeza, Náuseas, Escalofríos, Dolor de Cabeza"
Vanna,Gay,30555834-6,no,Bolívar,familiar,no,F,no,73,2022-01-27,"cansancio, Náuseas, Diarrea, Moqueo"
Ursa,Stevenson,21279053-2,no,Bolívar,familiar,no,F,no,45,2021-07-15,Dolores musculares o corporales
Zelda,Reese,49879250-2,no,Bolívar,familiar,no,F,no,39,2020-05-26,"Perdida del Olfato, Dolor de Cabeza, Congestión, Dolor de cabeza, Perdidad del Gusto"
Desiree,Mclean,24108457-4,no,Bolívar,familiar,no,F,no,54,2021-04-10,"Moqueo, Perdidad del Gusto"
Xandra,Green,44728998-9,no,Bolívar,familiar,no,F,no,32,2021-11-23,"Dificultad al respirar, Escalofríos, Dolores musculares o corporales, Náuseas"
Harriet,Crane,13768632-5,no,Bolívar,familiar,no,F,no,37,2020-02-04,"Moqueo, Dolor de cabeza, Vómito, Náuseas, Dificultad al respirar"
Marny,Jordan,29251881-1,no,Bolívar,familiar,no,F,no,21,2020-02-11,"fiebre, Escalofríos, Perdida del Olfato, Vómito, Dolor de Cabeza"
Xena,Rosales,47312810-1,no,Bolívar,familiar,no,F,no,37,2020-02-19,"Vómito, Congestión, Náuseas"
Paula,Wong,25233524-2,no,Bolívar,familiar,no,F,no,68,2021-08-06,"cansancio, Congestión, fiebre, Dolor de Cabeza, Dolor de cabeza, Moqueo, Dolores musculares o corporales, Vómito"
Catherine,Salinas,25948248-8,no,Bolívar,familiar,no,F,no,20,2020-02-08,
Yetta,Daniels,6557171-4,si,Cañar,trabajo,si,M,si,80,2021-10-30,"cansancio, Perdida del Olfato, Dificultad al respirar, Dolor de Cabeza, Perdidad del Gusto, Escalofríos"
Elvis,Booker,18821869-5,si,Cañar,trabajo,si,M,si,76,2020-11-03,"fiebre, Náuseas, Escalofríos, Dificultad al respirar, Dolor de cabeza, Perdida del Olfato, Dolor de Cabeza"
Patrick,Slater,21612392-1,si,Cañar,trabajo,si,M,si,32,2020-06-24,"tos seca, Escalofríos, Perdidad del Gusto, cansancio, fiebre, Perdida del Olfato"
Hoyt,Orr,22271144-4,si,Cañar,trabajo,si,M,si,44,2022-01-18,
Burton,Beasley,17710534-1,si,Cañar,trabajo,si,M,si,13,2021-12-01,"Perdidad del Gusto, cansancio, Náuseas, Dificultad al respirar, Dolor de Cabeza, tos seca, Escalofríos"
Oleg,Winters,20174258-7,si,Cañar,trabajo,si,M,si,7,2020-06-29,"Vómito, Dolor de cabeza, Perdida del Olfato, Escalofríos, cansancio, Congestión"
Lyle,Pope,20097256-2,si,Cañar,trabajo,si,M,si,80,2021-08-11,
Laura,Ballard,26478162-0,si,Cañar,trabajo,si,M,si,25,2020-02-16,"Dolor de Cabeza, cansancio"
Hashim,Brooks,11745260-3,si,Cañar,trabajo,si,M,si,20,2021-08-21,"tos seca, Moqueo, Perdidad del Gusto"
Hayden,Hewitt,29213361-8,si,Cañar,trabajo,si,M,si,47,2020-07-01,Dolor de cabeza
Destiny,Flynn,16223469-2,no,Carchi,colegio,no,F,no,10,2021-09-10,
Nash,Reese,46213066-k,no,Carchi,colegio,no,F,no,52,2020-12-19,"fiebre, Congestión, Náuseas"
Orlando,Dillon,8476272-5,no,Carchi,colegio,no,F,no,73,2020-08-29,"tos seca, Náuseas, Perdidad del Gusto, Diarrea, Vómito, Dolores musculares o corporales, Escalofríos"
Lesley,Hughes,7033496-8,no,Carchi,colegio,no,F,no,17,2020-04-20,Perdidad del Gusto
Oren,Alvarez,21115931-6,no,Carchi,colegio,no,F,no,37,2021-07-05,"Dolores musculares o corporales, Dificultad al respirar, Moqueo, Náuseas, tos seca, Escalofríos"
Maris,Ingram,13308138-0,no,Carchi,colegio,no,F,no,65,2020-10-16,"tos seca, Vómito, fiebre, cansancio, Congestión, Perdidad del Gusto, Náuseas"
Cecilia,Langley,39689381-9,no,Carchi,colegio,no,F,no,73,2021-04-08,"Dolor de cabeza, Náuseas, cansancio, Moqueo, Diarrea, Dificultad al respirar, fiebre, Congestión"
Declan,Holcomb,6769196-2,no,Carchi,colegio,no,F,no,49,2020-10-08,Diarrea
Samuel,Marshall,9368816-3,no,Carchi,colegio,no,F,no,31,2022-01-26,"tos seca, Dolor de cabeza, Perdida del Olfato"
Maxine,Thornton,24434138-1,no,Carchi,colegio,no,F,no,54,2020-02-19,"Perdida del Olfato, Vómito, tos seca, Escalofríos"
