cedula_fallecido,nombre_fallecido,apellido_fallecido,sexo,causa_muerte,caso_sospechoso,cedula
39710752-3,Cassandra,Mckee,F,covid-19,si,39710752-3
36916591-7,Rachel,Melendez,F,covid-19,si,36916591-7
31298139-4,Kareem,Melendez,F,covid-19,si,31298139-4
14868220-8,Rhea,Singleton,F,covid-19,si,14868220-8
31538763-9,Elvis,Perez,F,covid-19,si,31538763-9
49243594-5,Hilda,Ayala,F,covid-19,si,49243594-5
17444082-4,Hayfa,Justice,F,covid-19,si,17444082-4
13848952-3,Brett,Hendrix,F,covid-19,si,13848952-3
45652461-3,Chaim,Burns,F,covid-19,si,45652461-3
32771035-4,Dakota,Lara,F,covid-19,si,32771035-4
30083892-8,Bert,Meyers,M,otro,no,30083892-8
8303171-9,Uta,Mcconnell,M,otro,no,8303171-9
45496209-5,Macaulay,Schmidt,M,otro,no,45496209-5
28548805-2,Madaline,English,M,otro,no,28548805-2
22575027-0,Rebecca,Bradley,M,otro,no,22575027-0
31318206-1,Olga,Hyde,M,otro,no,31318206-1
21753221-3,Flavia,Holt,M,otro,no,21753221-3
22256310-0,Kaitlin,Chen,M,otro,no,22256310-0
37495662-0,Ethan,Hines,M,otro,no,37495662-0
20513974-5,Meredith,Evans,M,otro,no,20513974-5
40119422-3,Henry,Ford,F,covid-19,si,40119422-3
18179993-5,Cheryl,Walker,F,covid-19,si,18179993-5
31138268-3,Guinevere,Chang,F,covid-19,si,31138268-3
15996301-2,Xyla,Fleming,F,covid-19,si,15996301-2
31832059-4,Willow,Armstrong,F,covid-19,si,31832059-4
36389647-2,Yardley,Christian,F,covid-19,si,36389647-2
20005166-1,Byron,Hicks,F,covid-19,si,20005166-1
35378996-1,Nomlanga,Sutton,F,covid-19,si,35378996-1
6158628-8,Larissa,Phillips,F,covid-19,si,6158628-8
6226098-k,Preston,Graves,F,covid-19,si,6226098-k
34480305-6,Phoebe,Ramirez,M,otro,no,34480305-6
42432666-6,Rooney,Morse,M,otro,no,42432666-6
45327016-5,Gary,Harvey,M,otro,no,45327016-5
27723588-9,Shaeleigh,Mcdowell,M,otro,no,27723588-9
40177944-2,Rhiannon,Bullock,M,otro,no,40177944-2
47771267-3,Jelani,Woods,M,otro,no,47771267-3
8119715-6,Oprah,Mills,M,otro,no,8119715-6
8620455-k,Kai,Morrow,M,otro,no,8620455-k
6718933-7,Jaden,Christensen,M,otro,no,6718933-7
8835547-4,Caleb,Molina,M,otro,no,8835547-4
13309689-2,Nayda,Cherry,F,covid-19,si,13309689-2
7074505-4,Gareth,Yates,F,covid-19,si,7074505-4
8760416-0,Denise,Parsons,F,covid-19,si,8760416-0
36942111-5,Basia,Mullins,F,covid-19,si,36942111-5
38166971-8,Tiger,Travis,F,covid-19,si,38166971-8
17177873-5,Sebastian,Fields,F,covid-19,si,17177873-5
5210060-7,Quin,Barnett,F,covid-19,si,5210060-7
10128668-1,Kaitlin,Cooley,F,covid-19,si,10128668-1
24896927-k,Keely,Huff,F,covid-19,si,24896927-k
10004375-0,Darrel,Walters,F,covid-19,si,10004375-0
44822083-4,Amir,Chapman,M,otro,no,44822083-4
24281317-0,Beck,Hartman,M,otro,no,24281317-0
31120992-2,Robert,Chapman,M,otro,no,31120992-2
18015497-3,Eagan,Hunter,M,otro,no,18015497-3
24746023-3,Germane,Davenport,M,otro,no,24746023-3
47471643-0,Quail,Peters,M,otro,no,47471643-0
24256628-9,Diana,Hanson,M,otro,no,24256628-9
32423733-k,Lance,Bush,M,otro,no,32423733-k
20687497-k,Sonia,Hogan,M,otro,no,20687497-k
30444715-k,Kendall,Rosa,M,otro,no,30444715-k
18379468-k,Quyn,Mcintosh,F,covid-19,si,18379468-k
39545363-7,Levi,Randall,F,covid-19,si,39545363-7
30243662-2,Zia,Nash,F,covid-19,si,30243662-2
12183995-4,Jonah,Woodard,F,covid-19,si,12183995-4
16708494-k,Berk,Short,F,covid-19,si,16708494-k
5603696-2,Adrian,York,F,covid-19,si,5603696-2
20663659-9,Mollie,Rhodes,F,covid-19,si,20663659-9
34039903-k,Eagan,Bradshaw,F,covid-19,si,34039903-k
38198784-1,Aaron,Luna,F,covid-19,si,38198784-1
29964910-5,Herrod,Macias,F,covid-19,si,29964910-5
50976890-0,Shelley,Talley,M,otro,no,50976890-0
29613560-7,Martin,Bird,M,otro,no,29613560-7
30507698-8,Zorita,Sanchez,M,otro,no,30507698-8
16425033-4,Ciaran,Potts,M,otro,no,16425033-4
36391785-2,Anastasia,Alford,M,otro,no,36391785-2
35952706-3,Celeste,Rodgers,M,otro,no,35952706-3
12066542-1,Kato,Parrish,M,otro,no,12066542-1
9929825-1,Connor,Anderson,M,otro,no,9929825-1
27515986-7,Kane,Snow,M,otro,no,27515986-7
26700433-1,Jane,Wise,M,otro,no,26700433-1
18334612-1,Denton,Summers,F,covid-19,si,18334612-1
33849586-2,Gretchen,Richardson,F,covid-19,si,33849586-2
35705310-2,Shellie,Orr,F,covid-19,si,35705310-2
15106167-2,Ryan,Emerson,F,covid-19,si,15106167-2
40357320-5,Aubrey,Powell,F,covid-19,si,40357320-5
34945159-k,Maggy,Webb,F,covid-19,si,34945159-k
43865685-5,Madeson,Compton,F,covid-19,si,43865685-5
13150008-4,Minerva,Marquez,F,covid-19,si,13150008-4
12700420-k,Cruz,Bender,F,covid-19,si,12700420-k
35175099-5,Sierra,Woods,F,covid-19,si,35175099-5
27320264-1,Adena,Baldwin,M,otro,no,27320264-1
47656998-2,Serena,Gilbert,M,otro,no,47656998-2
19851047-5,Sigourney,Burris,M,otro,no,19851047-5
48993935-5,Jermaine,Underwood,M,otro,no,48993935-5
12449283-1,Constance,Hart,M,otro,no,12449283-1
12158733-5,Tanya,Camacho,M,otro,no,12158733-5
36682452-9,Deacon,Sparks,M,otro,no,36682452-9
27920473-5,Abdul,Harrison,M,otro,no,27920473-5
32882681-k,Francesca,Cummings,M,otro,no,32882681-k
25670555-9,MacKensie,Franco,M,otro,no,25670555-9
